
font_size 10

accuracy 72 ; block_size 3
accuracy 81 ; block_size 4
accuracy 91 ; block_size 5
accuracy 91 ; block_size 6
accuracy 97 ; block_size 7
accuracy 94 ; block_size 8
accuracy 98 ; block_size 9
accuracy 13 ; block_size 10
accuracy 2 ; block_size 11
accuracy 36 ; block_size 12
accuracy 97 ; block_size 13
accuracy 98 ; block_size 14
accuracy 98 ; block_size 15
accuracy 97 ; block_size 16
accuracy 97 ; block_size 17
accuracy 98 ; block_size 18
accuracy 98 ; block_size 19
accuracy 98 ; block_size 20
accuracy 98 ; block_size 21
accuracy 98 ; block_size 22
accuracy 98 ; block_size 23
accuracy 98 ; block_size 24
accuracy 98 ; block_size 25
accuracy 97 ; block_size 26
accuracy 98 ; block_size 27
accuracy 98 ; block_size 28
accuracy 98 ; block_size 29
accuracy 98 ; block_size 30
accuracy 97 ; block_size 31
accuracy 97 ; block_size 32
accuracy 98 ; block_size 33
accuracy 98 ; block_size 34
accuracy 98 ; block_size 35
accuracy 98 ; block_size 36
accuracy 98 ; block_size 37
accuracy 97 ; block_size 38
accuracy 97 ; block_size 39

font_size 15

accuracy 84 ; block_size 3
accuracy 89 ; block_size 4
accuracy 92 ; block_size 5
accuracy 95 ; block_size 6
accuracy 97 ; block_size 7
accuracy 96 ; block_size 8
accuracy 98 ; block_size 9
accuracy 96 ; block_size 10
accuracy 98 ; block_size 11
accuracy 98 ; block_size 12
accuracy 98 ; block_size 13
accuracy 98 ; block_size 14
accuracy 98 ; block_size 15
accuracy 97 ; block_size 16
accuracy 98 ; block_size 17
accuracy 98 ; block_size 18
accuracy 98 ; block_size 19
accuracy 98 ; block_size 20
accuracy 98 ; block_size 21
accuracy 98 ; block_size 22
accuracy 98 ; block_size 23
accuracy 97 ; block_size 24
accuracy 98 ; block_size 25
accuracy 98 ; block_size 26
accuracy 98 ; block_size 27
accuracy 98 ; block_size 28
accuracy 98 ; block_size 29
accuracy 98 ; block_size 30
accuracy 98 ; block_size 31
accuracy 98 ; block_size 32
accuracy 98 ; block_size 33
accuracy 98 ; block_size 34
accuracy 98 ; block_size 35
accuracy 98 ; block_size 36
accuracy 98 ; block_size 37
accuracy 98 ; block_size 38
accuracy 98 ; block_size 39

font_size 20

accuracy 91 ; block_size 3
accuracy 93 ; block_size 4
accuracy 97 ; block_size 5
accuracy 98 ; block_size 6
accuracy 98 ; block_size 7
accuracy 98 ; block_size 8
accuracy 93 ; block_size 9
accuracy 95 ; block_size 10
accuracy 98 ; block_size 11
accuracy 98 ; block_size 12
accuracy 98 ; block_size 13
accuracy 98 ; block_size 14
accuracy 98 ; block_size 15
accuracy 99 ; block_size 16
accuracy 99 ; block_size 17
accuracy 99 ; block_size 18
accuracy 99 ; block_size 19
accuracy 99 ; block_size 20
accuracy 99 ; block_size 21
accuracy 99 ; block_size 22
accuracy 99 ; block_size 23
accuracy 99 ; block_size 24
accuracy 99 ; block_size 25
accuracy 99 ; block_size 26
accuracy 99 ; block_size 27
accuracy 99 ; block_size 28
accuracy 99 ; block_size 29
accuracy 99 ; block_size 30
accuracy 99 ; block_size 31
accuracy 99 ; block_size 32
accuracy 99 ; block_size 33
accuracy 99 ; block_size 34
accuracy 99 ; block_size 35
accuracy 99 ; block_size 36
accuracy 99 ; block_size 37
accuracy 99 ; block_size 38
accuracy 99 ; block_size 39

font_size 25

accuracy 89 ; block_size 3
accuracy 94 ; block_size 4
accuracy 96 ; block_size 5
accuracy 96 ; block_size 6
accuracy 97 ; block_size 7
accuracy 97 ; block_size 8
accuracy 97 ; block_size 9
accuracy 97 ; block_size 10
accuracy 95 ; block_size 11
accuracy 97 ; block_size 12
accuracy 97 ; block_size 13
accuracy 97 ; block_size 14
accuracy 97 ; block_size 15
accuracy 97 ; block_size 16
accuracy 97 ; block_size 17
accuracy 97 ; block_size 18
accuracy 98 ; block_size 19
accuracy 97 ; block_size 20
accuracy 97 ; block_size 21
accuracy 97 ; block_size 22
accuracy 97 ; block_size 23
accuracy 97 ; block_size 24
accuracy 97 ; block_size 25
accuracy 97 ; block_size 26
accuracy 97 ; block_size 27
accuracy 97 ; block_size 28
accuracy 97 ; block_size 29
accuracy 97 ; block_size 30
accuracy 97 ; block_size 31
accuracy 97 ; block_size 32
accuracy 97 ; block_size 33
accuracy 97 ; block_size 34
accuracy 97 ; block_size 35
accuracy 97 ; block_size 36
accuracy 97 ; block_size 37
accuracy 97 ; block_size 38
accuracy 97 ; block_size 39
